account_id,account_name,Scope_3_emissions_amount,z_score,Primary activity,Year
3398,Citigroup Inc.,9890964.0,7.726977103899477,Banks,2014
4645,Deutsche Bank AG,4098755.34,3.061874875165433,Banks,2014
12291,"Mizuho Financial Group, Inc.",7265200.069999999,5.612160825514149,Banks,2014
20575,Wells Fargo & Company,3190327.0,2.3302176918105832,Banks,2014
8525,LafargeHolcim Ltd,21908572.0,2.4992099820489417,Cement,2014
22499,Intercontinental Hotels Group,7100334.0,2.251597232953418,Hotels & lodging,2014
14929,POSCO,18517504.0,2.197379182769905,Iron & steel,2014
14709,Koninklijke Philips NV,304210903.0,2.9999914928486566,Medical equipment,2014
14605,"PepsiCo, Inc.",16754670.0,2.249546540899346,Other food processing,2014
42037,Mondelez International Inc,17526500.0,2.3823157124795804,Other food processing,2014
19569,United Continental Holdings,7234932.0,2.3253324670950506,Passenger airlines,2014
1581,Bayer AG,34078000.0,4.748376003847766,Pharmaceuticals,2014
3588,Cognizant Technology Solutions Corp.,108905.0,2.195909722319805,IT services,2014
21394,Wistron Corp,843307068.7,5.9969046779820525,Electronic components,2014
1516,BASF SE,125697000.0,3.3654420700524907,Specialty chemicals,2014
16839,"Shin-Etsu Chemical Co., Ltd.",126482775.62,3.3891067188364143,Specialty chemicals,2014
17377,"Sompo Holdings, Inc",1286852.9,5.809776847521649,Insurance,2014
31538,"MS&AD Insurance Group Holdings, Inc.",849015.0,3.715577562222943,Insurance,2014
2302,Sky plc,2802576.0,3.406790283837424,Marketing,2014
18574,Tesco,45356209.0,3.720124894292581,"Supermarkets, food & drugstores",2014
20402,"Wal-Mart Stores, Inc.",33737323.0,2.651646522868535,"Supermarkets, food & drugstores",2014
8338,"Hitachi, Ltd.",242622895.0,4.419438260591725,Electrical equipment,2014
7903,H&M Hennes & Mauritz AB,2206609.0,3.171808196682389,Apparel stores,2014
11930,Microsoft Corporation,7690839.0,2.5894519117586308,Software,2014
16339,SAP SE,6935239.0,2.289685116152136,Software,2014
7166,General Electric Company,148700000.0,4.56201548978699,Industrial machinery,2014
10294,KPMG UK,41602461.2,5.8659360372848965,Other professional services,2014
15591,Reckitt Benckiser,34560775.08,2.06130687121124,Personal care & household products,2014
19829,Unilever plc,65130255.0,4.189435457415351,Personal care & household products,2014
16837,Shimizu Corporation,17190016.0,2.7583626128055645,Non-residential building construction,2014
19376,Travis Perkins,6508600.0,3.4546870265266745,"Dealers, wholesalers & distributors",2014
10156,Kingfisher,11930623.0,2.341920211971595,Specialist retail,2014
7164,General Motors Company,320990526.0,2.433534133113406,Automobiles,2014
8566,Honda Motor Company,277871000.0,2.022083314248431,Automobiles,2014
20309,Volkswagen AG,321208248.0,2.4356116581582063,Automobiles,2014
16012,Royal Dutch Shell,645678000.0,2.1339400267115605,Oil & gas refining,2014
4256,"Daiwa House Industry Co., Ltd.",12181052.0,2.84951547472581,Residential building construction,2014
3564,The Coca-Cola Company,55135423.0,2.8199946523845103,Non-alcoholic beverages,2014
2656,Canadian National Railway Company,1492054.0,2.3924576909779187,Rail freight,2014
21159,VESTEL ELEKTRONIK SANAYI VE TICARET A.S.,21442843380.62,4.690340696786636,Electronic equipment,2014
3329,"Cisco Systems, Inc.",36203260.0,2.064267102287677,Communications equipment,2014
16191,Samsung Electronics,44360945.0,2.641318106278004,Communications equipment,2014
32498,Abengoa,4148935.0,3.316542946973219,Engineering services,2014
8212,Heineken NV,10578231.34,2.908542237977431,Alcoholic beverages,2014
4826,The Dow Chemical Company,114280000.0,3.71931395417957,Other base chemicals,2014
21407,Lenovo Group,16195204.0,2.506792451815659,Computer hardware,2014
13298,Nippon Telegraph & Telephone Corporation (NTT),10043288.0,3.3240230377389617,Telecommunications services,2014
17073,SK Telecom,11783493.0,3.989637865904203,Telecommunications services,2014
18427,Telefonica,7004152.0,2.16157724174895,Telecommunications services,2014
2297,British Land Company,6048911.0,5.422264487443448,REIT,2014
23576,Sonoco Products Company,355515468.0,3.67470138346102,Plastic products,2014
10268,Korea Electric Power Corp,653432181.8,4.543394108063483,Electricity networks,2014
5584,Endesa,35544093.0,3.1618421257262392,0,2014
3751,ConocoPhillips,215387389.0,3.543583784257995,Oil & gas extraction,2014
777,Anglo American Platinum,1259666.0,2.988867128498533,Precious metals & minerals mining,2014
17788,Steelcase,676966.2999999999,2.990145128368952,Furniture,2014
11063,LVMH,775763.0,2.211993829536009,Apparel & footwear design,2014
12303,Mitsui O.S.K. Lines Ltd,9959621.86,2.697481345436064,Marine freight,2014
4212,"Dai Nippon Printing Co., Ltd.",5662000.0,2.449461506105861,Printing services,2015
4663,Deutsche Post AG,32750000.0,3.2847098050750825,Logistics - 3rd party,2015
4255,"Daito Trust Construction Co., Ltd.",5747490.8100000005,3.1570037967695472,Real estate services,2015
18585,TETRA PAK,10527192.0,3.700540436245397,Paper products,2015
13566,NSK Ltd.,6548797.0,2.632383921832272,Fabricated metal components,2015
13577,NTN Corporation,6833590.0,2.7722350818842063,Fabricated metal components,2015
13586,NTT Urban Development Corporation,845613.41,3.45697699859148,Real estate owners & developers,2015
2096,Bouygues,14079312.0,2.652063174120151,Transportation infrastructure & other construction,2015
5154,Ecolab Inc.,10331532.0,3.0993954168085263,Commercial services,2015
14783,Pinnacle West Capital Corporation,403508510.0,3.8234123882473807,CCGT generation,2015
12291,"Mizuho Financial Group, Inc.",9502138.83,3.030029500541552,Banks,2015
19794,UniCredit,30213155.0,10.065342942834803,Banks,2015
8525,LafargeHolcim Ltd,21675746.0,2.903632114092465,Cement,2015
3253,China Steel Corporation,43729432.39,2.173622659787072,Iron & steel,2015
3193,Innolux Corporation,229711571.65,2.635652036125104,Electronic components,2015
21394,Wistron Corp,484344890.7,5.846363118752152,Electronic components,2015
7156,General Mills Inc.,16991934.0,2.232406459429043,Other food processing,2015
14605,"PepsiCo, Inc.",17288000.0,2.2804347828940417,Other food processing,2015
42037,Mondelez International Inc,17267952.0,2.277182562683594,Other food processing,2015
1581,Bayer AG,33246000.0,4.866952218361373,Pharmaceuticals,2015
2297,British Land Company,12650465.0,5.540270626252285,REIT,2015
19242,"Toray Industries, Inc.",77109931.0,2.9071404346562257,Plastic products,2015
1516,BASF SE,136802000.0,5.399306119679922,Specialty chemicals,2015
252,Aegon,4846613.0,6.687004338797323,Insurance,2015
2302,Sky plc,2868967.0,3.4055397973727053,Marketing,2015
18574,Tesco,45064232.0,3.9315954286793553,"Supermarkets, food & drugstores",2015
23214,J Sainsbury Plc,26989715.0,2.155724820043464,"Supermarkets, food & drugstores",2015
1085,Associated British Foods,1582877.0,3.082586408091708,Apparel stores,2015
10268,Korea Electric Power Corp,665162133.64,4.758240410745529,Electricity networks,2015
